user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
Ads,personalization,True,English,English,0-18,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,19-24,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,24-30,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,30-36,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,36-45,years,1/1/18,,House,Ads,True
Ads,personalization,True,German,German,45-55,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,55+,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,0-18,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,19-24,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,24-30,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,0-18,years,1/1/18,,House,Ads,True
Ads,personalization,True,English,English,19-24,years,1/1/18,1/18/18,House,Ads,False
Ads,personalization,True,Arabic,Arabic,24-30,years,1/1/18,2/22/18,House,Ads,False
Ads,personalization,True,English,English,0-18,years,1/1/18,3/9/18,House,Ads,False
Ads,personalization,True,English,English,19-24,years,1/1/18,2/18/18,House,Ads,False
Ads,personalization,True,Arabic,Arabic,24-30,years,1/1/18,3/3/18,House,Ads,False
Ads,personalization,True,English,English,0-18,years,1/2/18,2/4/18,House,Ads,False
Ads,personalization,True,English,English,19-24,years,1/2/18,1/9/18,House,Ads,False
Ads,personalization,True,English,English,24-30,years,1/2/18,2/4/18,House,Ads,False
Ads,personalization,True,German,German,0-18,years,1/2/18,1/21/18,House,Ads,False
Ads,personalization,True,German,German,19-24,years,1/2/18,,House,Ads,True
Ads,personalization,True,English,English,24-30,years,1/2/18,,House,Ads,True
Ads,personalization,False,English,English,24-30,years,1/2/18,,House,Ads,True
Ads,personalization,True,English,English,30-36,years,1/2/18,,House,Ads,True
personalization,False,English,English,30-36,years,1/2/18,,House,Ads,True,
Ads,personalization,True,English,English,36-45,years,1/2/18,,House,Ads,True
Ads,personalization,False,English,English,36-45,years,1/2/18,,House,Ads,True
Ads,personalization,True,English,English,45-55,years,1/2/18,,House,Ads,True
Ads,personalization,False,English,English,45-55,years,1/2/18,,House,Ads,True
Ads,personalization,True,English,English,55+,years,1/2/18,,House,Ads,True
Ads,personalization,False,English,English,55+,years,1/2/18,,House,Ads,True
Ads,personalization,True,English,English,0-18,years,1/2/18,,House,Ads,True
personalization,False,English,English,0-18,years,1/2/18,,House,Ads,True,
