user_id,user_id,user_id,user_id,converted,converted,converted,converted,english_conv_rate,expected_spanish_rate,expected_arabic_rate,expected_german_rate,expected_spanish_conv,expected_arabic_conv,expected_german_conv
Arabic,English,German,Spanish,Arabic,English,German,Spanish,,,,,,,
['a100000041' 'a100000044'],"['a100000029' 'a100000030' 'a100000031' 'a100000032' 'a100000033'
 'a100000035' 'a100000036' 'a100000037' 'a100000038' 'a100000039'
 'a100000040' 'a100000042' 'a100000043' 'a100000050' 'a100000051'
 'a100000052' 'a100000053' 'a100000054' 'a100000055' 'a100000056'
 'a100000057' 'a100000058' 'a100000059' 'a100000061' 'a100000062'
 'a100000063' 'a100000064' 'a100000065' 'a100000066']",['a100000034' 'a100000060'],,2.0,13.0,1.0,,,,,,,,
,"['a100000299' 'a100000300' 'a100000302' 'a100000303' 'a100000304'
 'a100000305' 'a100000306' 'a100000308' 'a100000309' 'a100000310'
 'a100000311' 'a100000312' 'a100000313' 'a100000315' 'a100000316'
 'a100000328' 'a100000329' 'a100000330' 'a100000331' 'a100000332'
 'a100000333' 'a100000334' 'a100000336' 'a100000337' 'a100000338'
 'a100000339' 'a100000340' 'a100000341' 'a100000342' 'a100000343'
 'a100000344' 'a100000346' 'a100000347' 'a100000349' 'a100000350'
 'a100000351' 'a100000352']",['a100000297' 'a100000298' 'a100000348' 'a100000353'],"['a100000301' 'a100000307' 'a100000314' 'a100000317' 'a100000335'
 'a100000345']",,15.0,2.0,4.0,,,,,,,
,"['a100000318' 'a100000339' 'a100000360' 'a100000381' 'a100000402'
 'a100000494']",,,,6.0,,,,,,,,,
,['a100000340' 'a100000361' 'a100000382'],,['a100000319'],,3.0,,1.0,,,,,,,
,['a100000320' 'a100000341' 'a100000383' 'a100000403' 'a100000495'],['a100000362'],,,5.0,1.0,,,,,,,,
,"['a100000321' 'a100000342' 'a100000363' 'a100000384' 'a100000404'
 'a100000496']",,,,6.0,,,,,,,,,
,"['a100000322' 'a100000343' 'a100000364' 'a100000385' 'a100000405'
 'a100000497']",,,,6.0,,,,,,,,,
,"['a100000323' 'a100000344' 'a100000365' 'a100000386' 'a100000406'
 'a100000498']",,,,6.0,,,,,,,,,
,['a100000324' 'a100000499'],,['a100000345' 'a100000366' 'a100000387' 'a100000407'],,2.0,,4.0,,,,,,,
,['a100000325' 'a100000346' 'a100000367' 'a100000408' 'a100000500'],['a100000388'],,,5.0,1.0,,,,,,,,
['a100000409'],['a100000326' 'a100000347' 'a100000368' 'a100000389'],,,1.0,4.0,,,,,,,,,
,"['a100000045' 'a100000046' 'a100000047' 'a100000050' 'a100000051'
 'a100000052' 'a100000053' 'a100000054' 'a100000055' 'a100000056'
 'a100000057' 'a100000058' 'a100000059' 'a100000061']",['a100000048' 'a100000049' 'a100000060'],,,14.0,3.0,,,,,,,,
['a100000390'],['a100000327' 'a100000369' 'a100000410' 'a100000509'],['a100000348'],,1.0,4.0,1.0,,,,,,,,
,['a100000328' 'a100000349' 'a100000370' 'a100000391' 'a100000510'],,,,5.0,,,,,,,,,
['a100000371'],['a100000329' 'a100000350' 'a100000392' 'a100000411'],['a100000511'],,1.0,4.0,1.0,,,,,,,,
